account_number,month,usage
ACC000013,8,1402.4910949442574
ACC000013,9,1417.4547536112482
ACC000013,10,1612.274292649635
ACC000013,11,1595.7050336169077
ACC000013,12,1502.10526839345
ACC000014,1,1907.0934899872777
ACC000014,2,951.5492331948277
ACC000014,3,870.607971225322
ACC000014,4,802.2378659261911
ACC000014,5,887.685986299796
ACC000014,6,1356.6254247094284
ACC000014,7,1818.7255208616423
ACC000014,8,2055.693398778691
ACC000014,9,2360.7857461633957
ACC000014,10,3165.6665529727834
ACC000014,11,2674.5030784061964
ACC000014,12,2092.2090798244512
ACC000015,1,729.4987508348129
ACC000015,2,447.9958059337426
ACC000015,3,389.743759127903
ACC000015,4,352.59393612741616
ACC000015,5,378.54406800991865
ACC000015,6,494.4333196827253
ACC000015,7,580.8889903064058
ACC000015,8,829.8818316637439
ACC000015,9,980.4900839073482
ACC000015,10,975.0947302283108
ACC000015,11,776.2638656867307
ACC000015,12,751.6864986997425
ACC000016,1,1174.2140532643389
ACC000016,2,750.2740704755893
ACC000016,3,893.0521092666061
ACC000016,4,831.3907689248285
ACC000016,5,867.1581777383456
ACC000016,6,913.5639796047409
ACC000016,7,1304.714480021692
ACC000016,8,954.6747986889209
ACC000016,9,1110.0473766292387
ACC000016,10,1180.7245645187115
ACC000016,11,1027.500388849267
ACC000016,12,1219.3097164458236
ACC000017,1,1151.7725000488763
ACC000017,2,835.2171574790761
ACC000017,3,714.5029256124336
ACC000017,4,695.1357392513418
ACC000017,5,722.4957482883917
ACC000017,6,982.5569825606792
ACC000017,7,1344.2875468916561
ACC000017,8,1581.1735237057821
ACC000017,9,1668.9448709087098
ACC000017,10,1626.449703140191
ACC000017,11,1687.1073091561962
ACC000017,12,1843.365791440225
ACC000018,1,632.8826621899121
ACC000018,2,549.7596878336152
ACC000018,3,490.02331486570387
ACC000018,4,490.7702186833023
ACC000018,5,592.4233643760062
ACC000018,6,496.8328547736494
ACC000018,7,816.752670648794
ACC000018,8,737.4581782791329
ACC000018,9,830.8363843738514
ACC000018,10,716.1137859540145
ACC000018,11,680.9680714082411
ACC000018,12,601.5422518023701
ACC000019,1,1259.9664913043523
ACC000019,2,690.4837638022035
ACC000019,3,318.09207137302656
ACC000019,4,234.81022012631658
ACC000019,5,366.08183893043434
ACC000019,6,767.9982573622195
ACC000019,7,1074.586950942042
ACC000019,8,1635.8813396118142
ACC000019,9,1775.4476605359605
ACC000019,10,1954.5570606992233
ACC000019,11,2218.5585052416095
ACC000019,12,1681.8944908264743
ACC000020,1,770.7753247833174
ACC000020,2,697.2479460679865
ACC000020,3,712.0399057021887
ACC000020,4,618.0620791311314
ACC000020,5,634.5250286126477
ACC000020,6,629.8181362837281
ACC000020,7,804.5663860776593
ACC000020,8,978.7912612045562
ACC000020,9,1058.6486868506643
ACC000020,10,930.2162115204221
ACC000020,11,922.990958338117
ACC000020,12,1002.5490376296168
ACC000021,1,1381.1646612610914
ACC000021,2,1231.8224239159065
ACC000021,3,822.9119530276631
ACC000021,4,897.4860678678658
ACC000021,5,977.2268688605255
ACC000021,6,1098.9965606695375
ACC000021,7,1349.5224823505762
ACC000021,8,1669.2144194804655
ACC000021,9,1707.145370557893
ACC000021,10,1801.6527494911318
ACC000021,11,2106.1013216911865
ACC000021,12,1898.185019573095
ACC000022,1,1213.4563209428065
ACC000022,2,878.9485843339652
ACC000022,3,718.2771806519471
ACC000022,4,450.9343957153531
ACC000022,5,453.19087503088963
ACC000022,6,915.1637229395365
ACC000022,7,1216.0541357686059
ACC000022,8,1486.7932536067076
ACC000022,9,2078.0198608091277
ACC000022,10,2009.0015439443387
ACC000022,11,1673.8862168071983
ACC000022,12,1440.066474174379
ACC000023,1,956.952958711609
ACC000023,2,799.5490162202241
ACC000023,3,601.4946953565782
ACC000023,4,605.4534205929217
ACC000023,5,612.9153316859563
ACC000023,6,664.6402011845872
ACC000023,7,1098.427154805001
ACC000023,8,1149.647530197711
ACC000023,9,1356.0214257363875
ACC000023,10,1363.2640051899866
ACC000023,11,1395.7104352144152
ACC000023,12,1119.376596429429
ACC000024,1,920.8315744816151
ACC000024,2,575.4396923060658
ACC000024,3,528.231484281164
ACC000024,4,366.8139878634437
ACC000024,5,489.63715547654544
ACC000024,6,627.6014463102899
ACC000024,7,813.9031396177982
ACC000024,8,982.7642445380274
ACC000024,9,1709.8995033660103
ACC000024,10,1210.3489180064662
ACC000024,11,1359.9919589233587
ACC000024,12,1242.0862032980033
ACC000025,1,422.5929786129067
ACC000025,2,372.4891868832482
ACC000025,3,253.0407642151073
ACC000025,4,276.4179784975956
ACC000025,5,255.11414671594684
ACC000025,6,315.777325909568
ACC000025,7,402.7609500443773
ACC000025,8,444.6997575432458
ACC000025,9,515.6925342120243
ACC000025,10,541.6422748930605
ACC000025,11,558.3005755010713
ACC000025,12,511.49811672076834
ACC000026,1,1504.9457209842867
ACC000026,2,984.1393631696303
ACC000026,3,573.3375394240857
ACC000026,4,468.324553788655
ACC000026,5,498.1349505001168
ACC000026,6,975.2448921484523
ACC000026,7,1237.5626871045008
ACC000026,8,1876.9871250763451
ACC000026,9,2195.358810253191
ACC000026,10,2283.0018662978728
ACC000026,11,2736.455572457429
ACC000026,12,1778.0522994324122
ACC000027,1,1276.8482596610218
ACC000027,2,759.8014813445639
ACC000027,3,531.1966836951142
ACC000027,4,359.29506339799855
ACC000027,5,607.2711019256589
ACC000027,6,861.689542774907
ACC000027,7,1368.846692310268
ACC000027,8,1836.6186510989555
ACC000027,9,1763.8621425295632
ACC000027,10,1904.9604190687307
ACC000027,11,2199.6717098839636
ACC000027,12,1809.7723171665468
ACC000028,1,1137.2320385813848
ACC000028,2,642.3939731781707
ACC000028,3,664.7128973681741
ACC000028,4,714.2674702744358
ACC000028,5,753.7784598017366
ACC000028,6,979.0119385464347
ACC000028,7,1103.6279175131908
ACC000028,8,1510.691630914019
ACC000028,9,1402.3652299560558
ACC000028,10,1413.32587179889
ACC000028,11,1507.748532095412
ACC000028,12,1275.045528346978
ACC000029,1,1427.9507872810866
ACC000029,2,1122.5176125954704
ACC000029,3,663.7608248365399
ACC000029,4,562.794531824109
ACC000029,5,662.5987345084121
ACC000029,6,936.3875873268594
ACC000029,7,1281.1734850592666
ACC000029,8,1674.3759963045613
ACC000029,9,2354.5613835414097
ACC000029,10,2478.5324775075146
ACC000029,11,2361.554455957646
ACC000029,12,2065.4248234123174
ACC000030,1,1384.6502030997633
ACC000030,2,1086.434883739371
ACC000030,3,1027.3561188059293
ACC000030,4,879.247109261837
ACC000030,5,842.7014548957571
ACC000030,6,1224.3931577243345
ACC000030,7,1368.8836473739455
ACC000030,8,1752.6780842977066
ACC000030,9,1931.7624011629305
ACC000030,10,1881.6100561104117
ACC000030,11,2283.7302839632025
ACC000030,12,1707.9601961886385
ACC000031,1,870.4949143547345
ACC000031,2,639.1483962961898
ACC000031,3,463.68637932434365
ACC000031,4,369.0950224288864
ACC000031,5,476.27643801017064
ACC000031,6,569.9086547498902
ACC000031,7,693.5995724034833
ACC000031,8,920.4221833774327
ACC000031,9,1013.8836876111584
ACC000031,10,872.1469226861152
ACC000031,11,885.1524415510272
ACC000031,12,910.2419600586634
ACC000032,1,1012.5026000164198
ACC000032,2,783.2620390107916
ACC000032,3,721.2018309602631
ACC000032,4,609.895049668334
ACC000032,5,611.2589488823221
ACC000032,6,727.7787251171271
ACC000032,7,1078.316249754246
ACC000032,8,1287.418370769989
ACC000032,9,1378.2369687100359
ACC000032,10,1291.8139812077782
ACC000032,11,1097.9313011982647
ACC000032,12,1096.9070826084621
ACC000033,1,1395.5183170543792
ACC000033,2,1173.9980502139283
ACC000033,3,1223.056513256585
ACC000033,4,1101.220158014472
ACC000033,5,1184.961302257454
ACC000033,6,1154.1406171947772
ACC000033,7,1442.2003237472572
ACC000033,8,1635.8915723419086
ACC000033,9,1627.499315473951
ACC000033,10,1933.6637633646164
ACC000033,11,1862.0339846306715
ACC000033,12,1693.5638121954335
ACC000034,1,825.7525568230445
ACC000034,2,656.7815286588607
ACC000034,3,615.3472842669787
ACC000034,4,538.4986839536571
ACC000034,5,584.0039238287811
ACC000034,6,654.2846739611256
ACC000034,7,938.49964143588
ACC000034,8,1149.2717318979253
ACC000034,9,1502.287484512868
ACC000034,10,1341.9733024512761
ACC000034,11,1323.4574686224632
ACC000034,12,1142.6073772506886
ACC000035,1,754.3078553767044
ACC000035,2,504.0064512638043
ACC000035,3,392.89081631798615
ACC000035,4,305.8903915733412
ACC000035,5,396.3212939942122
ACC000035,6,459.58675447224795
ACC000035,7,721.2540024539628
ACC000035,8,858.8672389894597
ACC000035,9,1248.2709494680275
ACC000035,10,1225.9469516519268
ACC000035,11,1155.6701506118982
ACC000035,12,1068.524264308931
ACC000036,1,615.9013365396496
ACC000036,2,409.9114309543869
ACC000036,3,201.51614262294456
ACC000036,4,184.57392004283096
ACC000036,5,249.0479235073371
ACC000036,6,423.14895469304554
ACC000036,7,641.1547524800922
ACC000036,8,868.7092035433977
ACC000036,9,1116.9704290324378
ACC000036,10,1119.658871239065
ACC000036,11,968.6238024053422
ACC000036,12,871.5664729563698
ACC000037,1,1233.2086690008252
ACC000037,2,938.0208967257264
ACC000037,3,972.5328527690166
ACC000037,4,905.7772073510328
ACC000037,5,919.5078734440601
ACC000037,6,929.2933491349066
ACC000037,7,931.5952097524239
ACC000037,8,1086.3061353879696
ACC000037,9,1257.9286590189845
ACC000037,10,1543.0676788649525
ACC000037,11,1305.4913898411342
ACC000037,12,1183.497726736738
ACC000038,1,1103.3028792439504
ACC000038,2,691.7857520838363
ACC000038,3,293.64707056006483
ACC000038,4,251.3201164596806
ACC000038,5,445.2814258446524
ACC000038,6,655.5629730681092
ACC000038,7,999.292306384486
ACC000038,8,1716.6747851308205
ACC000038,9,1882.146147377591
ACC000038,10,1789.948147136727
ACC000038,11,1986.838979322473
ACC000038,12,1405.00043937521
ACC000039,1,566.3855405698736
ACC000039,2,604.5741051615562
ACC000039,3,525.0424064479773
ACC000039,4,415.1936512849555
ACC000039,5,532.5146784541562
ACC000039,6,550.4138784527407
ACC000039,7,607.9094235392646
ACC000039,8,604.3733466244995
ACC000039,9,605.4618466149936
ACC000039,10,680.6183766975809
ACC000039,11,810.3854971423189
ACC000039,12,564.7260224054676
ACC000040,1,1160.2285864150924
ACC000040,2,765.99856555824
ACC000040,3,606.9180755243311
ACC000040,4,633.9142715496589
ACC000040,5,605.3296878721687
ACC000040,6,953.2591496948501
ACC000040,7,1327.0085904687458
ACC000040,8,1691.9206823159095
ACC000040,9,2090.316661420322
ACC000040,10,2028.5085128093963
ACC000040,11,1870.5638385034015
ACC000040,12,1652.197408357761
ACC000041,1,911.0161850656193
ACC000041,2,468.1785229691987
ACC000041,3,283.67253621773665
ACC000041,4,207.27294207643365
ACC000041,5,343.7707101920801
ACC000041,6,594.4307012620386
ACC000041,7,791.8468974670247
ACC000041,8,1125.6580106458296
ACC000041,9,1174.994273432311
ACC000041,10,1066.1606834444797
ACC000041,11,1278.7388703458275
ACC000041,12,1118.5191037798793
ACC000042,1,1221.1343064492987
ACC000042,2,1397.18758408543
ACC000042,3,887.0599008364676
ACC000042,4,800.2498725767389
ACC000042,5,932.4502390219517
ACC000042,6,1130.654754410919
ACC000042,7,1483.0421910959078
ACC000042,8,1723.1261785173506
ACC000042,9,2178.93257890778
ACC000042,10,2416.84548762064
ACC000042,11,2104.3451072109315
ACC000042,12,2061.30855518262
ACC000043,1,1386.4428353104433
ACC000043,2,1145.343821389155
ACC000043,3,847.473273980247
ACC000043,4,734.6342116696717
ACC000043,5,809.9854894214251
ACC000043,6,982.3690676903507
ACC000043,7,1560.1711701415902
ACC000043,8,1600.1762600048555
ACC000043,9,1900.4237932435574
ACC000043,10,1841.9340571105872
ACC000043,11,2031.745506097101
ACC000043,12,1976.4123080483405
ACC000044,1,962.7150642781259
ACC000044,2,936.6745074810447
ACC000044,3,657.661629387542
ACC000044,4,644.586854940287
ACC000044,5,521.3010995887776
ACC000044,6,852.3140237251337
ACC000044,7,1108.1866431515043
ACC000044,8,1310.6340552602376
ACC000044,9,1485.7136502278645
ACC000044,10,1309.7907324684859
ACC000044,11,1595.8508252472195
ACC000044,12,1324.082334095262
ACC000045,1,852.0368079337832
ACC000045,2,498.24579168595517
ACC000045,3,369.8191325929188
ACC000045,4,280.4031099838421
ACC000045,5,370.81155550505457
ACC000045,6,467.3542406244917
ACC000045,7,689.764604616094
ACC000045,8,1068.5907809736032
ACC000045,9,1026.4426161803706
ACC000045,10,1287.5040792564546
ACC000045,11,1033.4332928888598
ACC000045,12,997.6927458615486
ACC000046,1,962.6197109104907
ACC000046,2,584.7079111123642
ACC000046,3,332.1590223552089
ACC000046,4,237.83563293830323
ACC000046,5,308.0903129402765
ACC000046,6,491.44013071033135
ACC000046,7,801.4683740669117
ACC000046,8,1106.829966966642
ACC000046,9,1683.27393416109
ACC000046,10,1533.2298148192383
ACC000046,11,1273.9746499365096
ACC000046,12,1401.1035290104744
ACC000047,1,1302.0721945820849
ACC000047,2,998.024894680289
ACC000047,3,758.1056219953665
ACC000047,4,671.1226810908049
ACC000047,5,823.5452886528225
ACC000047,6,934.2516451866659
ACC000047,7,1121.3050708671387
ACC000047,8,1563.7342128581604
ACC000047,9,1627.8382067090367
ACC000047,10,1985.856239601124
ACC000047,11,1995.1011031613134
ACC000047,12,1666.0671790764961
ACC000048,1,580.391964473478
ACC000048,2,588.5028437217178
ACC000048,3,513.3809365330826
ACC000048,4,448.38930011918995
ACC000048,5,671.0472059211461
ACC000048,6,597.0488747973694
ACC000048,7,553.0932661017912
ACC000048,8,634.5111313202194
ACC000048,9,662.2685402032216
ACC000048,10,767.1097859873996
ACC000048,11,684.258178110058
ACC000048,12,666.7833314263618
ACC000049,1,1078.5777704869154
ACC000049,2,892.974606787765
ACC000049,3,829.2339094631268
ACC000049,4,592.7445792895018
ACC000049,5,752.9682193066435
ACC000049,6,802.0926630387223
ACC000049,7,1036.82806625444
ACC000049,8,1324.05657063224
ACC000049,9,1307.655109571703
ACC000049,10,1325.626779903152
ACC000049,11,1548.5534395806853
ACC000049,12,1209.8597484582822
ACC000050,1,1116.6124303686506
ACC000050,2,953.7374075884039
ACC000050,3,761.6755831408909
ACC000050,4,562.2762469959499
ACC000050,5,575.7703659349396
ACC000050,6,1050.6969245895407
ACC000050,7,1416.1391280151931
ACC000050,8,1248.754570505994
ACC000050,9,1335.8093175842791
ACC000050,10,1603.8110701696273
ACC000050,11,1640.0063359646738
ACC000050,12,1566.8969332061226
ACC000051,1,764.8961299428862
ACC000051,2,699.56320388708
ACC000051,3,429.65713356637775
ACC000051,4,497.92381098788996
ACC000051,5,375.5853371316971
ACC000051,6,613.1708425126944
ACC000051,7,811.677371879445
ACC000051,8,1128.9778672651335
ACC000051,9,1265.4137974656408
ACC000051,10,1344.747107126303
ACC000051,11,1147.825330616884
ACC000051,12,1128.3258889354054
ACC000052,1,639.0897845788403
ACC000052,2,633.7169001474823
ACC000052,3,515.1891003129105
ACC000052,4,448.3305007684586
ACC000052,5,446.6259286692536
ACC000052,6,626.0887062089193
ACC000052,7,807.0017528652961
ACC000052,8,780.6263322202681
ACC000052,9,929.758822036966
ACC000052,10,801.6620989181159
ACC000052,11,707.1449004438991
ACC000052,12,714.2716817844992
ACC000053,1,1302.3322624877565
ACC000053,2,1173.6837299607564
ACC000053,3,827.1833637456855
ACC000053,4,822.1263939095993
ACC000053,5,896.6867626358431
ACC000053,6,1042.7923167514882
ACC000053,7,1062.0876250467372
ACC000053,8,1292.2695576876208
ACC000053,9,1389.7567923342317
ACC000053,10,1507.1545664990122
ACC000053,11,1463.418544342727
ACC000053,12,1051.2094865450379
ACC000054,1,1021.162230915774
ACC000054,2,866.0550001336563
ACC000054,3,742.175048610349
ACC000054,4,573.1177233310193
ACC000054,5,875.0540152692424
ACC000054,6,997.3679756578923
ACC000054,7,1024.6500292523635
ACC000054,8,1084.3064510015206
ACC000054,9,1358.3636536603333
ACC000054,10,1429.7153518904852
ACC000054,11,1433.7410835846551
ACC000054,12,1346.848956660012
ACC000055,1,1216.9492027878575
ACC000055,2,675.6753357300363
ACC000055,3,300.0572237399608
ACC000055,4,168.51649784145218
ACC000055,5,347.81377173746233
ACC000055,6,777.7426102949589
ACC000055,7,1268.738861768581
ACC000055,8,2059.4414243282354
ACC000055,9,2139.2740974562776
ACC000055,10,2483.464903725346
ACC000055,11,2451.832935580701
ACC000055,12,2042.863849734174
ACC000056,1,865.0255498736046
ACC000056,2,358.77341136950946
ACC000056,3,242.7319425141214
ACC000056,4,170.1088389877484
ACC000056,5,225.5869837580817
ACC000056,6,427.7532678454693
ACC000056,7,853.0107386954346
ACC000056,8,1199.0381324406517
ACC000056,9,1144.4825798207316
ACC000056,10,1493.7947690139204
ACC000056,11,1497.5589676573375
ACC000056,12,1031.9683009030707
ACC000057,1,807.1583082904607
ACC000057,2,577.5862505500008
ACC000057,3,439.7128353737512
ACC000057,4,431.50636840450176
ACC000057,5,514.5745996227749
ACC000057,6,596.9140089416251
ACC000057,7,665.418257221036
ACC000057,8,933.2434204833951
ACC000057,9,1057.0300632254534
ACC000057,10,989.5623449541386
ACC000057,11,1087.6027116806463
ACC000057,12,728.1214139226236
ACC000058,1,1333.2748314035077
ACC000058,2,1238.5179193850283
ACC000058,3,856.0769237303414
ACC000058,4,870.3182811672298
ACC000058,5,1125.0726287431955
ACC000058,6,879.5708075770048
ACC000058,7,917.4175300395393
ACC000058,8,1396.6720951069058
ACC000058,9,1372.2159312267975
ACC000058,10,1584.2419284949085
ACC000058,11,1620.9139478396999
ACC000058,12,1377.4837685644322
ACC000059,1,1744.00893871083
ACC000059,2,1478.436210508098
ACC000059,3,883.8244579169124
ACC000059,4,794.4259136995169
ACC000059,5,1108.3589276259715
ACC000059,6,1235.058159791478
ACC000059,7,1751.7928533698248
ACC000059,8,2052.426578680639
ACC000059,9,2418.947708673712
ACC000059,10,3035.453760268009
ACC000059,11,1838.2182601274167
ACC000059,12,2156.0554142364854
ACC000060,1,1909.1699630909131
ACC000060,2,1557.9181529070715
ACC000060,3,1178.913314150113
ACC000060,4,1021.4856460886186
ACC000060,5,1155.7938327179409
ACC000060,6,1568.5104144471666
ACC000060,7,1677.9940562623415
ACC000060,8,2470.4860747727157
ACC000060,9,2890.1590361259564
ACC000060,10,2362.0173890655483
ACC000060,11,2663.1317055461186
ACC000060,12,2109.893767098692
ACC000061,1,521.8424552231409
ACC000061,2,456.5767254948515
ACC000061,3,318.09582662493125
ACC000061,4,312.163266711793
ACC000061,5,381.03872347847107
ACC000061,6,392.5793615727523
ACC000061,7,516.8795355301198
ACC000061,8,580.8468486972781
ACC000061,9,654.2633531937421
ACC000061,10,702.3932645630216
ACC000061,11,628.9742511683826
ACC000061,12,597.7531791685906
ACC000062,1,722.8305872701605
ACC000062,2,589.2793515368043
ACC000062,3,355.29663068850675
ACC000062,4,222.59419822009386
ACC000062,5,339.5031508920626
ACC000062,6,574.8409097282419
ACC000062,7,853.4202161634482
ACC000062,8,886.5239434494208
ACC000062,9,1301.2134614903491
ACC000062,10,1550.1123223572336
ACC000062,11,1139.7777533700357
ACC000062,12,1153.4731705951733
ACC000063,1,869.7733080043188
ACC000063,2,683.3331229821005
ACC000063,3,456.77345745863806
ACC000063,4,340.45315393155414
ACC000063,5,415.6341594912472
ACC000063,6,646.4081752665375
ACC000063,7,715.1326844984847
ACC000063,8,901.4168856516308
ACC000063,9,1190.520393282338
ACC000063,10,1177.0666709063112
ACC000063,11,1176.5338018797977
ACC000063,12,899.0168595239431
ACC000064,1,432.5464935561694
ACC000064,2,360.8827590424021
ACC000064,3,269.81262004573927
ACC000064,4,210.57764559546433
ACC000064,5,264.79111813874084
ACC000064,6,328.0414142300987
ACC000064,7,400.588133000397
ACC000064,8,505.5069848498708
ACC000064,9,771.5444072998127
ACC000064,10,581.1047165355585
ACC000064,11,628.4617427758083
ACC000064,12,598.15773560383
ACC000065,1,577.6992438816804
ACC000065,2,472.5185774832077
ACC000065,3,337.8140059745161
ACC000065,4,246.33461048179836
ACC000065,5,332.58496161531536
ACC000065,6,453.0647007503702
ACC000065,7,615.7686285340019
ACC000065,8,801.4698491594424
ACC000065,9,903.0662083557177
ACC000065,10,998.0877635681657
ACC000065,11,913.1420905725082
ACC000065,12,928.7340977604733
ACC000066,1,636.7778047234667
ACC000066,2,405.65150527852074
ACC000066,3,199.44261501475873
ACC000066,4,158.02168090103035
ACC000066,5,196.63837052179048
ACC000066,6,429.7428677658713
ACC000066,7,530.3580559421515
ACC000066,8,1021.0492107580242
ACC000066,9,1061.286882405623
ACC000066,10,1275.80400237718
ACC000066,11,1044.516188423349
ACC000066,12,760.260866610746
ACC000067,1,1626.5226166843452
ACC000067,2,1697.5094049867982
ACC000067,3,1023.5828430016832
ACC000067,4,896.5108908301008
ACC000067,5,1124.397442615852
ACC000067,6,1436.5799404776503
ACC000067,7,2452.8961543726355
ACC000067,8,2977.916734680276
ACC000067,9,2890.811190294972
ACC000067,10,2632.3424303111915
ACC000067,11,3079.394708307551
ACC000067,12,2611.135565160946
ACC000068,1,989.8544065973165
ACC000068,2,823.5547980934706
ACC000068,3,638.6607956541293
ACC000068,4,667.3013235037143
ACC000068,5,645.4504631108836
ACC000068,6,960.1043863939105
ACC000068,7,1326.3917678282774
ACC000068,8,1506.4890656818775
ACC000068,9,1766.3658454804088
ACC000068,10,1757.9917748467979
ACC000068,11,1686.0116957571447
ACC000068,12,1291.909419529688
ACC000069,1,1244.647536316847
ACC000069,2,939.6728259961403
ACC000069,3,587.9490049518788
ACC000069,4,762.8814949674742
ACC000069,5,743.7146001163941
ACC000069,6,1090.4266454074464
ACC000069,7,1244.7678512602172
ACC000069,8,1627.4397781300527
ACC000069,9,1869.1950045095814
ACC000069,10,1661.4718105149468
ACC000069,11,2033.3693864382537
ACC000069,12,1653.4413144493624
ACC000070,1,905.4249011264972
ACC000070,2,700.8830752146512
ACC000070,3,662.657931664295
ACC000070,4,503.7025110480996
ACC000070,5,610.9395908157459
ACC000070,6,714.0456616044103
ACC000070,7,988.4066969782655
ACC000070,8,1033.4019664667828
ACC000070,9,1197.8872017606686
ACC000070,10,995.3779519176621
ACC000070,11,1084.5382917917489
ACC000070,12,907.3596483682645
ACC000071,1,1000.7440083499708
ACC000071,2,866.7935389986073
ACC000071,3,641.3785875902016
ACC000071,4,607.3371589302435
ACC000071,5,715.6472844839769
ACC000071,6,812.6257540940392
